"","year","team","score","round","yearly_game_id","team_num","win_status"
"402",2015,"COL",2,"Group",21,2,"Won"
"403",2015,"BRA",1,"Group",22,1,"Won"
"404",2015,"ESP",0,"Group",22,2,"Lost"
"405",2015,"ENG",2,"Group",23,1,"Won"
"406",2015,"MEX",1,"Group",23,2,"Lost"
"407",2015,"KOR",2,"Group",24,1,"Tie"
"408",2015,"CRC",2,"Group",24,2,"Tie"
"409",2015,"THA",0,"Group",25,1,"Lost"
"410",2015,"GER",4,"Group",25,2,"Won"
"411",2015,"CIV",1,"Group",26,1,"Lost"
"412",2015,"NOR",3,"Group",26,2,"Won"
"413",2015,"NED",1,"Group",27,1,"Tie"
"414",2015,"CAN",1,"Group",27,2,"Tie"
"415",2015,"CHN",2,"Group",28,1,"Tie"
"416",2015,"NZL",2,"Group",28,2,"Tie"
"417",2015,"ECU",0,"Group",29,1,"Lost"
"418",2015,"JPN",1,"Group",29,2,"Won"
"419",2015,"SUI",1,"Group",30,1,"Lost"
"420",2015,"CMR",2,"Group",30,2,"Won"
"421",2015,"NGA",0,"Group",31,1,"Lost"
"422",2015,"USA",1,"Group",31,2,"Won"
"423",2015,"AUS",1,"Group",32,1,"Tie"
"424",2015,"SWE",1,"Group",32,2,"Tie"
"425",2015,"MEX",0,"Group",33,1,"Lost"
"426",2015,"FRA",5,"Group",33,2,"Won"
"427",2015,"ENG",2,"Group",34,1,"Won"
"428",2015,"COL",1,"Group",34,2,"Lost"
"429",2015,"CRC",0,"Group",35,1,"Lost"
"430",2015,"BRA",1,"Group",35,2,"Won"
"431",2015,"KOR",2,"Group",36,1,"Won"
"432",2015,"ESP",1,"Group",36,2,"Lost"
"433",2015,"GER",4,"Round of 16",37,1,"Won"
"434",2015,"SWE",1,"Round of 16",37,2,"Lost"
"435",2015,"CHN",1,"Round of 16",38,1,"Won"
"436",2015,"CMR",0,"Round of 16",38,2,"Lost"
"437",2015,"BRA",0,"Round of 16",39,1,"Lost"
"438",2015,"AUS",1,"Round of 16",39,2,"Won"
"439",2015,"FRA",3,"Round of 16",40,1,"Won"
"440",2015,"KOR",0,"Round of 16",40,2,"Lost"
"441",2015,"CAN",1,"Round of 16",41,1,"Won"
"442",2015,"SUI",0,"Round of 16",41,2,"Lost"
"443",2015,"NOR",1,"Round of 16",42,1,"Lost"
"444",2015,"ENG",2,"Round of 16",42,2,"Won"
"445",2015,"USA",2,"Round of 16",43,1,"Won"
"446",2015,"COL",0,"Round of 16",43,2,"Lost"
"447",2015,"JPN",2,"Round of 16",44,1,"Won"
"448",2015,"NED",1,"Round of 16",44,2,"Lost"
"449",2015,"GER",1,"Quarter Final",45,1,"Won"
"450",2015,"FRA",1,"Quarter Final",45,2,"Lost"
"451",2015,"CHN",0,"Quarter Final",46,1,"Lost"
"452",2015,"USA",1,"Quarter Final",46,2,"Won"
"453",2015,"AUS",0,"Quarter Final",47,1,"Lost"
"454",2015,"JPN",1,"Quarter Final",47,2,"Won"
"455",2015,"ENG",2,"Quarter Final",48,1,"Won"
"456",2015,"CAN",1,"Quarter Final",48,2,"Lost"
"457",2015,"USA",2,"Semi Final",49,1,"Won"
"458",2015,"GER",0,"Semi Final",49,2,"Lost"
"459",2015,"JPN",2,"Semi Final",50,1,"Won"
"460",2015,"ENG",1,"Semi Final",50,2,"Lost"
"461",2015,"GER",0,"Third Place Playoff",51,1,"Lost"
"462",2015,"ENG",1,"Third Place Playoff",51,2,"Won"
"463",2015,"USA",5,"Final",52,1,"Won"
"464",2015,"JPN",2,"Final",52,2,"Lost"
"465",2019,"FRA",4,"Group",1,1,"Won"
"466",2019,"KOR",0,"Group",1,2,"Lost"
"467",2019,"GER",1,"Group",2,1,"Won"
"468",2019,"CHN",0,"Group",2,2,"Lost"
"469",2019,"ESP",3,"Group",3,1,"Won"
"470",2019,"RSA",1,"Group",3,2,"Lost"
"471",2019,"NOR",3,"Group",4,1,"Won"
"472",2019,"NGA",0,"Group",4,2,"Lost"
"473",2019,"AUS",1,"Group",5,1,"Lost"
"474",2019,"ITA",2,"Group",5,2,"Won"
"475",2019,"BRA",3,"Group",6,1,"Won"
"476",2019,"JAM",0,"Group",6,2,"Lost"
"477",2019,"ENG",2,"Group",7,1,"Won"
"478",2019,"SCO",1,"Group",7,2,"Lost"
"479",2019,"ARG",0,"Group",8,1,"Tie"
"480",2019,"JPN",0,"Group",8,2,"Tie"
"481",2019,"CAN",1,"Group",9,1,"Won"
"482",2019,"CMR",0,"Group",9,2,"Lost"
"483",2019,"NZL",0,"Group",10,1,"Lost"
"484",2019,"NED",1,"Group",10,2,"Won"
"485",2019,"CHI",0,"Group",11,1,"Lost"
"486",2019,"SWE",2,"Group",11,2,"Won"
"487",2019,"USA",13,"Group",12,1,"Won"
"488",2019,"THA",0,"Group",12,2,"Lost"
"489",2019,"NGA",2,"Group",13,1,"Won"
"490",2019,"KOR",0,"Group",13,2,"Lost"
"491",2019,"GER",1,"Group",14,1,"Won"
"492",2019,"ESP",0,"Group",14,2,"Lost"
"493",2019,"FRA",2,"Group",15,1,"Won"
"494",2019,"NOR",1,"Group",15,2,"Lost"
"495",2019,"AUS",3,"Group",16,1,"Won"
"496",2019,"BRA",2,"Group",16,2,"Lost"
"497",2019,"RSA",0,"Group",17,1,"Lost"
"498",2019,"CHN",1,"Group",17,2,"Won"
"499",2019,"JPN",2,"Group",18,1,"Won"
"500",2019,"SCO",1,"Group",18,2,"Lost"
"501",2019,"JAM",0,"Group",19,1,"Lost"
"502",2019,"ITA",5,"Group",19,2,"Won"
"503",2019,"ENG",1,"Group",20,1,"Won"
"504",2019,"ARG",0,"Group",20,2,"Lost"
"505",2019,"NED",3,"Group",21,1,"Won"
